"","Location","TMAX","TMIN","TAVG","AWND","AWDR","PRCP","SNOW","Date"
"190","Yuma",311,150,"","13","","0","0","2017-11-16"
"191","Yuma",294,172,"","23","","0","0","2017-11-17"
"192","Yuma",250,167,"","55","","0","0","2017-11-18"
"193","Yuma",244,139,"","42","","0","0","2017-11-19"
"194","Yuma",256,111,"","27","","0","0","2017-11-20"
"195","Yuma",289,156,"","30","","0","0","2017-11-21"
"196","Yuma",322,161,"","31","","0","0","2017-11-22"
"197","Yuma",328,156,"","17","","0","0","2017-11-23"
"198","Yuma",322,144,"","12","","0","0","2017-11-24"
"199","Yuma",317,144,"","13","","0","0","2017-11-25"
"200","Yuma",322,144,"","20","","0","0","2017-11-26"
"201","Yuma",233,122,"","16","","0","0","2017-11-27"
"202","Yuma",233,144,"","34","","0","0","2017-11-28"
"203","Yuma",217,150,"","19","","0","0","2017-11-29"
"204","Yuma",228,144,"","10","","0","0","2017-11-30"
"205","Yuma",278,128,"","10","","0","0","2017-12-01"
"206","Yuma",283,133,"","25","","0","0","2017-12-02"
"207","Yuma",261,128,"","18","","0","0","2017-12-03"
"208","Yuma",206,117,"","58","","0","0","2017-12-04"
"209","Yuma",200,111,"","51","","0","0","2017-12-05"
"210","Yuma",228,117,"","61","","0","0","2017-12-06"
"211","Yuma",217,122,"","53","","0","0","2017-12-07"
"212","Yuma",228,67,"","26","","0","0","2017-12-08"
"213","Yuma",244,72,"","33","","0","0","2017-12-09"
"214","Tucson",367,183,"274","36","","0","0","2017-09-30"
"215","Tucson",350,178,"264","34","","0","0","2017-10-01"
"216","Tucson",339,172,"266","36","","0","0","2017-10-02"
"217","Tucson",350,150,"257","30","","0","0","2017-10-03"
"218","Tucson",372,194,"275","23","","0","0","2017-10-04"
"219","Tucson",372,228,"298","23","","0","0","2017-10-05"
"220","Tucson",350,178,"282","32","","0","0","2017-10-06"
"221","Tucson",350,139,"236","28","","0","0","2017-10-07"
"222","Tucson",344,150,"239","39","","0","0","2017-10-08"
"223","Tucson",306,189,"253","31","","0","0","2017-10-09"
"224","Tucson",328,133,"253","40","","0","0","2017-10-10"
"225","Tucson",361,211,"274","48","","0","0","2017-10-11"
"226","Tucson",344,200,"272","34","","0","0","2017-10-12"
"227","Tucson",344,178,"258","26","","0","0","2017-10-13"
"228","Tucson",339,156,"251","29","","0","0","2017-10-14"
"229","Tucson",356,156,"242","26","","0","0","2017-10-15"
"230","Tucson",344,217,"274","54","","0","0","2017-10-16"
"231","Tucson",350,211,"283","34","","0","0","2017-10-17"
"232","Tucson",356,194,"272","25","","0","0","2017-10-18"
"233","Tucson",344,194,"261","33","","0","0","2017-10-19"
"234","Tucson",322,178,"257","36","","0","0","2017-10-20"
"235","Tucson",283,133,"221","18","","0","0","2017-10-21"
"236","Tucson",322,128,"212","24","","0","0","2017-10-22"
"237","Tucson",356,139,"231","30","","0","0","2017-10-23"
"238","Tucson",344,128,"243","54","","0","0","2017-10-24"
"239","Tucson",350,200,"266","55","","0","0","2017-10-25"
"240","Tucson",328,150,"239","34","","0","0","2017-10-26"
"241","Tucson",311,133,"222","26","","0","0","2017-10-27"
"242","Tucson",317,128,"219","28","","0","0","2017-10-28"
"243","Tucson",328,139,"222","26","","0","0","2017-10-29"
"244","Tucson",294,156,"227","38","","0","0","2017-10-30"
"245","Tucson",261,139,"210","26","","0","0","2017-10-31"
"246","Tucson",283,144,"211","26","","0","0","2017-11-01"
"247","Tucson",283,128,"202","27","","0","0","2017-11-02"
"248","Tucson",294,133,"204","26","","0","0","2017-11-03"
"249","Tucson",278,189,"228","35","","0","0","2017-11-04"
"250","Tucson",272,144,"214","26","","0","0","2017-11-05"
"251","Tucson",278,122,"190","21","","0","0","2017-11-06"
"252","Tucson",267,156,"207","33","","23","0","2017-11-07"
"253","Tucson",261,128,"191","19","","0","0","2017-11-08"
"254","Tucson",294,128,"201","20","","0","0","2017-11-09"
"255","Tucson",300,128,"203","28","","0","0","2017-11-10"
"256","Tucson",294,133,"207","27","","0","0","2017-11-11"
"257","Tucson",317,128,"200","26","","0","0","2017-11-12"
"258","Tucson",311,144,"210","24","","0","0","2017-11-13"
"259","Tucson",317,133,"212","28","","0","0","2017-11-14"
"260","Tucson",311,122,"201","26","","0","0","2017-11-15"
"261","Tucson",317,117,"204","30","","0","0","2017-11-16"
"262","Tucson",294,100,"199","32","","0","0","2017-11-17"
"263","Tucson",256,111,"190","23","","0","0","2017-11-18"
"264","Tucson",261,89,"177","33","","0","0","2017-11-19"
"265","Tucson",267,94,"178","28","","0","0","2017-11-20"
"266","Tucson",256,89,"163","23","","0","0","2017-11-21"
"267","Tucson",300,100,"193","42","","0","0","2017-11-22"
"268","Tucson",317,117,"206","24","","0","0","2017-11-23"
"269","Tucson",311,111,"197","34","","0","0","2017-11-24"
"270","Tucson",311,117,"195","27","","0","0","2017-11-25"
"271","Tucson",333,117,"202","31","","0","0","2017-11-26"
"272","Tucson",333,128,"210","38","","0","0","2017-11-27"
"273","Tucson",250,100,"190","16","","0","0","2017-11-28"
